"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"NKivu","2015","20",2015,7551.16257136879,753691.509481904,1.00189035916824
"NKivu","2015","200",2015,7245003.29695002,75398614.7296954,9.60893422634276
"NKivu","2015","300",2015,15459195.9353558,169645273.176964,9.11265940149696
"NKivu","2015","50",2015,296148.047563154,4712438.35368992,6.28439091052013
"NKivu","2016","100",2016,1822518.20360893,18849297.4955101,9.66889192577632
"NKivu","2016","20",2016,7551.16257136879,753691.509481904,1.00189035916824
"NKivu","2016","200",2016,7246114.6001209,75398614.7296955,9.61040813030619
"NKivu","2016","300",2016,15482723.2682983,169645273.176964,9.12652794761195
"NKivu","2016","50",2016,296081.559339256,4712438.35368993,6.28298000137058
"NKivu","2016","50",2016,296081.559339256,4712438.35368992,6.2829800013706
"NKivu","2017","100",2017,1815081.02084997,18849297.4955101,9.62943590487825
"NKivu","2017","20",2017,7532.16593596912,753691.509481904,0.999369880277253
"NKivu","2017","200",2017,7239380.29287171,75398614.7296956,9.60147652423712
"NKivu","2017","300",2017,15478610.4967342,169645273.176964,9.1241036115329
"NKivu","2017","50",2017,295882.094667559,4712438.35368992,6.27874727392196
"NKivu","2018","100",2018,1803588.05643316,18849297.4955101,9.56846299902039
"NKivu","2018","20",2018,7522.66761826929,753691.509481905,0.998109640831757
"NKivu","2018","20",2018,7522.66761826929,753691.509481904,0.998109640831759
"NKivu","2018","200",2018,7237803.57213354,75398614.7296954,9.59938534425482
"NKivu","2018","300",2018,15480196.7157902,169645273.176965,9.12503863260726
"NKivu","2018","50",2018,292130.259176124,4712438.35368992,6.19913168619767
"NKivu","2019","100",2019,1795504.9880706,18849297.4955101,9.52558040159475
"NKivu","2019","20",2019,7494.17266516978,753691.509481904,0.994328922495274
"NKivu","2019","200",2019,7228020.30490271,75398614.7296955,9.58640995038863
"NKivu","2019","300",2019,15470593.9165956,169645273.176964,9.1193781158038
"NKivu","2019","50",2019,290734.006474248,4712438.35368992,6.16950259405724
"NKivu","2020","100",2020,1793481.84640054,18849297.4955101,9.51484715453056
"NKivu","2020","20",2020,7494.17266516978,753691.509481904,0.994328922495274
"NKivu","2020","20",2020,7494.17266516978,753691.509481905,0.994328922495273
"NKivu","2020","200",2020,7224847.86679096,75398614.7296954,9.58220239548445
"NKivu","2020","300",2020,15467231.5121298,169645273.176964,9.11739609508324
"NKivu","2020","50",2020,290354.073766255,4712438.35368993,6.16144025605985
"NKivu","2020","50",2020,290354.073766255,4712438.35368992,6.16144025605986
"NKivu","2021","100",2021,1803873.00596416,18849297.4955101,9.56997472395902
"NKivu","2021","20",2021,7684.13901916648,753691.509481904,1.01953371140517
"NKivu","2021","200",2021,7239665.24240271,75398614.7296954,9.60185444833034
"NKivu","2021","300",2021,15480396.1804618,169645273.176964,9.12515621010763
"NKivu","2021","50",2021,295207.714110871,4712438.35368992,6.26443662397659
"NKivu","2021","50",2021,295207.714110871,4712438.35368993,6.26443662397658
"NKivu","2022","100",2022,1803331.60185526,18849297.49551,9.56710244657567
"NKivu","2022","100",2022,1803331.60185526,18849297.4955101,9.56710244657561
"NKivu","2022","20",2022,7836.11210236384,753691.509481904,1.03969754253308
"NKivu","2022","200",2022,7240681.56239659,75398614.7296953,9.60320237759606
"NKivu","2022","300",2022,15483084.2043709,169645273.176965,9.12674070689832
"NKivu","2022","50",2022,296964.90288534,4712438.35368992,6.30172493721454
"NKivu","2022","50",2022,296964.90288534,4712438.35368993,6.30172493721453
"Odzala","1992","100",1992,3073425.64376091,3141648.85268555,97.8284266598947
"Odzala","1992","20",1992,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1992","200",1992,11953251.3814053,12566262.9852498,95.1217668724263
"Odzala","1992","300",1992,25930546.6077065,28269900.7811391,91.7249296644388
"Odzala","1992","50",1992,777590.716227292,785521.438690341,98.9903875219153
"Odzala","1993","100",1993,3073425.64376091,3141648.85268555,97.8284266598947
"Odzala","1993","20",1993,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1993","200",1993,11953251.3814053,12566262.9852498,95.1217668724263
"Odzala","1993","300",1993,25930537.1098353,28269900.7811391,91.7248960673233
"Odzala","1993","50",1993,777590.716227292,785521.438690341,98.9903875219153
"Odzala","1994","100",1994,3073425.64376091,3141648.85268555,97.8284266598947
"Odzala","1994","20",1994,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1994","200",1994,11953251.3814053,12566262.9852498,95.1217668724263
"Odzala","1994","300",1994,25930537.1098353,28269900.7811391,91.7248960673233
"Odzala","1994","50",1994,777590.716227292,785521.438690341,98.9903875219153
"Odzala","1995","100",1995,3073938.52880642,3141648.85268556,97.8447520059011
"Odzala","1995","20",1995,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1995","200",1995,11964458.869437,12566262.9852498,95.210953992295
"Odzala","1995","300",1995,25948687.5417237,28269900.7811391,91.789100155017
"Odzala","1995","50",1995,778625.984189534,785521.438690341,99.1221812465993
"Odzala","1996","100",1996,3073796.06073823,3141648.85268555,97.8402171875663
"Odzala","1996","20",1996,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1996","200",1996,11971297.3367105,12566262.9852498,95.2653732518758
"Odzala","1996","300",1996,25964995.3865969,28269900.7811391,91.8467864023068
"Odzala","1996","50",1996,778625.984189534,785521.438690341,99.1221812465993
"Odzala","1997","100",1997,3073530.12034425,3141648.85268555,97.8317521933405
